Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
AARM,CSE,COMPUTER SCIENCE AND ENGINEERING,24147,24147,41502,41502,34085,36425,24147,24147,31767,31767,24369,37487,24147,138549,61347,70506,33632,33632
AARM,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),26432,26432,59596,59596,40592,40592,102919,102919,33724,37381,47365,60556,26432,26432,88483,132029,36342,36342
AARM,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,34682,44847,102933,110964,63789,73807,34682,44847,54611,54611,110517,118655,34682,44847,128399,128399,54335,66424
AARM,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,62606,91120,82680,91120,109130,109130,62606,96339,76622,91228,80021,91120,62606,91120,90287,145982,93730,134342
AARM,MEC,MECHANICAL ENGINEERING,65347,116925,127779,127779,111227,116925,65347,116925,105791,120420,65347,116925,65347,116925,114707,134818,104472,118544
ACEG,CIV,CIVIL ENGINEERING,58226,58226,113649,126357,96615,96615,58226,58226,81453,93502,58226,120594,136536,136536,117755,137454,71557,114524
ACEG,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),25579,25579,53592,53592,33385,35155,78691,78691,32674,32674,55275,65361,108625,108625,99062,99062,28711,28729
ACEG,CSE,COMPUTER SCIENCE AND ENGINEERING,22208,22208,51608,51831,30544,31704,83727,83727,29757,29757,52085,58242,127895,146715,77009,82361,25813,25813
ACEG,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),23028,23028,44973,45265,30690,32149,62180,62180,30212,30212,41694,61037,125425,125425,90113,93369,26687,26687
ACEG,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),29748,29748,61311,79446,42357,42357,29748,108552,39042,40850,74566,74566,29748,151459,125277,136596,35859,35859
ACEG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,31519,31519,72817,72817,43530,43530,31519,31519,43722,43722,76010,76010,31519,31519,91525,135408,35854,35854
ACEG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,39271,39271,104188,104188,58154,58701,39271,39271,39271,39271,82351,82351,39271,39271,102441,102441,61279,61279
ACEG,INF,INFORMATION TECHNOLOGY,28800,28800,58829,58829,38757,41677,28800,28800,37718,37718,66887,79249,28800,28800,100128,100128,31050,31050
ACEG,MEC,MECHANICAL ENGINEERING,55612,81032,103969,120471,59496,81032,71004,81032,69568,104626,130869,130869,130850,130850,57771,81032,97336,119712
AITH,CIV,CIVIL ENGINEERING,104008,104008,116982,118095,119961,119961,104008,104008,113639,113639,104008,104008,104008,104008,147873,148560,134597,134597
AITH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),51543,53931,115268,121029,85514,90107,51543,53931,79507,80359,104283,108510,51543,53931,121844,149116,83154,83154
AITH,CSE,COMPUTER SCIENCE AND ENGINEERING,55245,55245,92945,105241,78766,80423,55245,56602,70714,70714,91186,97552,55245,97641,137964,137964,82277,82277
AITH,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),58452,60138,85749,108699,79823,79823,79958,79958,71718,71718,58452,96169,62235,62235,138266,138597,76195,76195
AITH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,73549,79786,87647,112989,98765,101727,73549,79786,89369,89369,125467,125467,73549,79786,144330,151278,97184,100650
AITH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,59383,90473,100536,106669,109147,119534,59383,90473,99029,105500,113130,113130,59383,90473,145855,145855,122487,122487
AITH,MEC,MECHANICAL ENGINEERING,103928,103928,128784,128784,130130,130130,103928,103928,125590,145122,103928,147844,103928,103928,149700,149700,103928,103928
AKIT,CIV,CIVIL ENGINEERING,107694,107694,142915,142915,144391,144391,107694,107694,147037,147037,147175,147175,107694,107694,141495,141495,107694,107694
AKIT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),59303,65640,133876,133876,133113,133113,59303,98447,114668,114668,129802,129802,124941,124941,143389,143389,90263,90263
AKIT,CSE,COMPUTER SCIENCE AND ENGINEERING,79085,79085,133288,133288,121794,128157,79085,79085,102359,119519,119331,119331,79085,79085,138141,144115,126188,132332
AKIT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84148,84148,84148,126040,109245,128570,115789,115789,84148,118119,115893,115893,150084,150084,111514,131572,130080,130080
AKIT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,105747,119611,136630,139575,141092,141092,105747,119611,130576,130576,141160,141160,105747,119611,136500,136500,105747,119611
AKIT,MEC,MECHANICAL ENGINEERING,112179,112179,146069,146993,147325,147975,112179,112179,148340,148340,112179,112179,112179,112179,138375,149495,112179,112179
AKIT,MIN,MINING ENGINEERING,105365,105365,107860,107860,108606,136918,137282,137282,105365,132603,105365,105365,121423,121423,127278,127278,113234,113234
ANRK,CIV,CIVIL ENGINEERING,84462,85170,136493,136493,151450,151450,84462,85170,110016,110016,84462,85170,84462,85170,144536,148485,84462,85170
