Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
AARM,CSE,COMPUTER SCIENCE AND ENGINEERING,30248,30248,72392,85501,49661,51679,30248,30248,37015,43604,68396,68396,30248,106739,93357,135564,40008,40008
AARM,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",26432,29491,83754,100314,54278,55871,41196,41196,38714,53026,85955,85955,26432,29491,117446,135791,40145,42472
AARM,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,40002,56566,105935,120377,88626,88626,40002,56566,71498,86852,132039,132039,40002,56566,140893,140893,67498,79863
AARM,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,100652,100652,111066,135333,110661,110661,100652,115321,105242,113788,110790,110790,100652,100652,141178,144004,131114,131114
AARM,MEC,MECHANICAL ENGINEERING,87443,87443,131996,131996,120953,120953,87443,87443,131504,131724,87443,107269,87443,87443,147432,148523,87443,87443
ACEG,CIV,CIVIL ENGINEERING,58226,58226,133858,133858,96615,102605,58226,58226,81453,92767,58226,120594,136536,136536,97495,137454,92154,117941
ACEG,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),25500,25500,56473,56473,36009,37260,91697,91697,35386,35386,62440,67741,108625,108625,97187,125380,28632,28729
ACEG,CSE,COMPUTER SCIENCE AND ENGINEERING,22208,22208,53775,53775,33003,33003,88789,88789,32674,32674,61215,62521,137606,146715,81101,109873,27123,27123
ACEG,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",22828,22828,44973,45265,31565,35528,36416,36416,30165,32464,41023,61037,120535,120535,89831,98124,27097,27097
ACEG,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),29474,29474,61311,76070,46905,48150,29474,44132,45301,45301,74566,74566,29474,151459,96962,136596,35859,35859
ACEG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,31519,31519,72753,83857,46497,46497,31519,31519,48358,48358,76010,117909,31519,31519,93206,136220,34474,34474
ACEG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,39425,39425,103287,103287,48492,63871,39425,39425,39425,51642,82351,82351,39425,39425,112388,112388,61279,61279
ACEG,INF,INFORMATION TECHNOLOGY,28800,28800,54790,56387,43934,43934,28800,28800,37718,37718,66887,79249,28800,28800,100128,135690,30650,30650
ACEG,MEC,MECHANICAL ENGINEERING,52486,55725,115169,115169,78290,107588,71004,71004,83800,90734,126913,126913,142120,142120,57771,57771,97336,98578
AITH,CIV,CIVIL ENGINEERING,125696,125696,147770,151171,151465,151465,151638,151638,151634,151634,125696,125696,125696,125696,147873,150443,125696,125696
AITH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),70953,70953,131986,131986,99970,99970,70953,70953,88762,100137,104283,104283,70953,70953,145504,145846,88224,88224
AITH,CSE,COMPUTER SCIENCE AND ENGINEERING,45492,59657,114490,134890,91933,101738,45492,63032,86585,87206,131374,131374,45492,97641,139345,139345,103844,103844
AITH,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",59000,59000,83568,108699,96226,105686,71271,71271,80267,87867,122663,122663,142054,142054,143642,149328,99896,99896
AITH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,79786,79786,120089,120089,118796,118796,79786,79786,106001,107941,118962,118962,79786,79786,147763,151278,115416,115416
AITH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,59383,59383,124137,132048,132334,134493,59383,59383,118045,118045,127786,127786,59383,59383,148055,148055,123195,135336
AITH,MEC,MECHANICAL ENGINEERING,44784,44784,151235,151235,44784,44784,44784,44784,135111,145122,44784,44784,44784,44784,147496,147496,44784,44784
AKIT,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,90887,90887,125580,126614,128370,128370,106062,106062,100247,100247,120199,120199,90887,147043,142500,142500,90887,110189
AKIT,CIV,CIVIL ENGINEERING,107694,107694,142915,142915,147445,147445,107694,107694,149568,149568,147175,147175,107694,107694,141495,141495,107694,107694
AKIT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),59303,65640,138440,138440,138359,138359,59303,98447,114668,131779,133846,133846,139574,139574,144321,144321,90263,129052
AKIT,CSE,COMPUTER SCIENCE AND ENGINEERING,75398,75398,133343,133343,134222,135404,75398,75398,125408,128723,125956,125956,75398,75398,146810,146810,130960,130960
AKIT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84148,84148,84148,126040,84148,140385,145832,145832,135192,146069,115893,115893,150180,150180,111514,131572,130080,130080
AKIT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,105747,119611,136630,139575,147975,148027,105747,119611,149580,149580,141160,141160,105747,119611,136500,136500,105747,119611
AKIT,MEC,MECHANICAL ENGINEERING,112179,112179,150531,151712,151518,151518,112179,112179,150565,150565,112179,112179,112179,112179,138375,150194,112179,112179
AKIT,MIN,MINING ENGINEERING,105365,105365,107860,107860,105365,136918,137282,137282,105365,132603,105365,105365,121423,121423,127278,127278,113234,113234
ANRK,CIV,CIVIL ENGINEERING,78343,85170,136493,136493,151450,151450,78343,85170,78343,85170,78343,85170,78343,85170,137654,148485,78343,85170
ANRK,CSE,COMPUTER SCIENCE AND ENGINEERING,48666,48666,126713,126713,85067,85067,48666,66715,70140,70140,79731,79731,48666,101713,139634,141664,87891,87891
ANRK,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",41905,41905,113551,117818,56845,61464,70037,70037,68402,68402,86932,128196,117272,117272,141181,149901,80584,80584
ANRK,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,61880,68365,134649,134649,133299,134253,118934,118934,99211,100938,119415,119415,149988,149988,150586,150586,88761,134122
ANRK,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,69352,69352,69352,69352,117361,117361,69352,69352,69352,134920,69352,69352,69352,69352,144621,150633,69352,69352
ANRK,INF,INFORMATION TECHNOLOGY,56645,56645,128044,128044,121060,128307,56645,56645,79570,97427,134640,134640,56645,56645,144724,147812,122093,122093
ANUG,AI,ARTIFICIAL INTELLIGENCE,9932,11952,27392,27990,16439,16439,9932,11952,13506,16213,24123,29620,9932,11952,38365,38365,11893,12229
ANUG,CIV,CIVIL ENGINEERING,52802,52802,105183,119982,75130,91391,52802,52802,72607,72607,82282,112875,52802,52802,96964,127382,73200,85616
ANUG,CSE,COMPUTER SCIENCE AND ENGINEERING,10026,11116,25594,25594,16145,16145,17724,23551,15276,15501,22356,33426,35036,35036,36869,43236,11522,12476
ANUG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,18658,18658,41325,41325,26824,26824,78404,78404,24034,26379,48992,65239,132797,141276,62567,69538,21282,21461
ANUG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,30879,32106,87117,87117,44468,54264,30879,32106,42510,50651,56120,99113,106012,136465,88358,107756,40987,41464
ANUG,INF,INFORMATION TECHNOLOGY,14648,14648,37248,40923,19923,19923,19679,85719,19048,19726,39431,39431,14648,104494,59580,65820,15764,15764
ANUG,MEC,MECHANICAL ENGINEERING,48242,60608,81722,93172,66359,121590,48242,60608,83562,104626,122319,129790,48242,60608,100132,142411,55178,115725
ARJN,CSE,COMPUTER SCIENCE AND ENGINEERING,47201,47201,102615,106881,93859,95528,87502,93832,96901,103691,110772,110772,141806,141806,140501,140501,84777,117414
ARJN,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",92232,92232,130107,130107,111727,114261,92232,92232,103831,107156,112496,114901,92232,92232,148815,150056,92232,115694
ARJN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,81644,81644,130751,130751,125722,125722,81644,81644,114579,125831,129944,129944,81644,81644,149969,149969,123485,123485
ASRA,CIV,CIVIL ENGINEERING,129855,129855,129855,129855,151253,151720,129855,129855,129855,129855,129855,129855,129855,129855,129855,129855,129855,129855
ASRA,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),85528,85528,115683,115683,115154,115154,85528,106006,102225,105500,131004,131004,85528,138894,144218,145241,105401,105401
ASRA,CSE,COMPUTER SCIENCE AND ENGINEERING,58764,61659,110391,133201,103373,103373,58764,61659,97088,97088,98775,135170,58764,61659,146094,146094,102970,102970
ASRA,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",63464,63464,119057,121362,83821,119781,80968,80968,100609,100609,132001,132001,139294,139294,148263,148779,101364,101364
ASRA,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,53996,53996,130892,130892,130298,134450,100848,100848,114036,120172,131252,132588,53996,53996,150678,150841,120025,122487
ASRA,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,124525,124525,142055,142055,149230,150508,124525,124525,151118,151118,145066,145066,124525,124525,151616,151616,124525,126172
ASRA,MEC,MECHANICAL ENGINEERING,94345,109466,94345,109466,94345,109466,94345,109466,94345,109466,94345,109466,94345,109466,94345,109466,94345,109466
AURC,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,66849,72201,81396,108027,102720,102720,66849,72201,94135,110303,103147,103147,66849,72201,138898,143748,74304,105859
AURC,CIV,CIVIL ENGINEERING,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787,149787
AURG,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,34939,39121,117615,122217,57358,67704,34939,60205,61913,61913,76971,100971,135837,135837,120252,120252,52282,54430
AURG,CSE,COMPUTER SCIENCE AND ENGINEERING,34153,34153,115481,131855,65070,68240,55703,55703,55056,59293,114428,115589,139536,142390,115205,139376,57997,57997
AURG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,32338,32338,134261,134261,68504,86630,32338,63698,65789,65789,103828,103828,147905,147905,117566,151318,58634,58634
AURG,MEC,MECHANICAL ENGINEERING,73427,106065,127863,149718,147365,147365,73427,106065,151212,151530,110417,110417,73427,106065,145264,148183,120192,120192
AURH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),117108,122907,117108,122907,149719,149719,117108,122907,117108,122907,117108,122907,151658,151658,117108,122907,117108,122907
AURK,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,68128,68128,116706,116706,112012,119384,68128,68128,91842,118140,132719,132719,68128,68128,144232,149807,113182,122855
AVIH,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),65920,82178,111373,119958,109255,109255,74725,82178,88414,91019,111315,111315,65920,140988,146750,149513,96298,105851
AVIH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),65467,65467,112711,112711,107002,115485,65467,65467,97235,100405,98925,101627,65467,65467,143031,147738,104335,104335
AVIH,CSE,COMPUTER SCIENCE AND ENGINEERING,67614,67614,129221,129221,109739,109739,96033,96033,95345,95345,131009,131009,128920,128920,146092,148259,104162,104162
AVIH,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",68512,68512,131913,131913,111977,111977,68512,80436,96807,100240,130870,130870,143879,145118,147839,147970,95793,95793
AVIH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,90633,90633,128479,128479,126760,126760,90633,90633,107690,116621,109340,113454,90633,90633,148065,149265,106346,121010
AVIH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,98460,98460,129144,149449,143619,145387,133546,133546,131602,131602,98460,149483,111099,111099,150891,150891,134605,134605
AVIH,MEC,MECHANICAL ENGINEERING,101070,127886,101070,148211,101070,148354,147225,147225,151289,151289,101070,151513,101070,127886,140473,150795,101070,127886
AVNI,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,51674,51674,59245,125818,70134,85727,80979,80979,80825,80825,123661,123661,51674,51674,140576,146816,65810,75219
AVNI,CIV,CIVIL ENGINEERING,56285,56285,129185,129185,124071,124071,100005,100005,99920,99920,56285,56285,147087,147087,138586,143915,134669,134669
AVNI,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),52839,52839,93741,105387,79965,83294,69954,69954,73290,82613,80564,80564,52839,52839,137591,147647,62115,76684
AVNI,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),34575,34575,128000,128000,84882,89576,71843,81912,81269,81703,100895,105108,34575,139607,138589,142789,73677,73677
AVNI,CSE,COMPUTER SCIENCE AND ENGINEERING,48753,51271,116403,118201,80321,80321,54182,54182,70619,70619,125152,129824,124224,124224,136746,142053,63053,66417
AVNI,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",54298,54298,123551,127598,82357,85941,91801,91801,76400,80858,89775,119459,83763,83763,138615,151300,70866,70866
AVNI,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,73425,73425,107174,134868,101884,101884,73425,83020,90931,98056,131658,131658,73425,150844,142829,148880,82371,83244
AVNI,MEC,MECHANICAL ENGINEERING,72453,72453,112447,112447,119536,146819,72453,72453,103928,120120,134829,134829,72453,72453,144679,145408,115868,115868
BIET,CIV,CIVIL ENGINEERING,66049,66049,140002,140002,141804,141804,111127,111127,66049,141717,142408,142408,141408,141408,137167,138272,128720,128720
BIET,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),44909,46341,80967,131795,91365,91365,44909,46341,82899,82899,121877,134302,44909,46341,139877,149407,75335,82324
BIET,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),63665,63665,84717,126835,87082,87082,63665,63665,84656,84656,109196,109196,63665,63665,139960,145784,77026,78167
BIET,CSE,COMPUTER SCIENCE AND ENGINEERING,54921,54921,135279,135279,88535,88535,63684,70853,84017,84579,99599,118103,143112,145663,140367,149839,74782,74782
BIET,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",56495,57766,117983,124197,91543,91543,74773,81048,83444,83444,103787,103787,145018,145018,141628,149578,72762,77940
BIET,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,74354,74354,117603,131979,113683,113683,74354,95560,103462,103462,114048,114048,91762,91762,148580,149273,101008,101008
BIET,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,51070,51070,134028,134028,128199,128199,51070,51070,117634,117634,128981,128981,51070,146072,138577,141826,125526,134471
BIET,INF,INFORMATION TECHNOLOGY,66437,66437,127856,127856,108392,108392,75388,75388,96921,96921,135411,135411,66437,66437,147754,147754,85242,85242
BIET,MEC,MECHANICAL ENGINEERING,115912,115912,115912,147736,148234,149891,115912,115912,150569,150569,115912,115912,144287,144287,142403,142403,115912,115912
BITN,CIV,CIVIL ENGINEERING,87888,87888,87888,135892,87888,125369,87888,87888,87888,87888,142804,142804,87888,87888,148415,148415,87888,87888
BITN,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),76487,76487,117900,131753,134004,134004,90247,90247,111293,113179,135300,135300,76487,76487,150426,150426,81566,81566
BITN,CSE,COMPUTER SCIENCE AND ENGINEERING,72769,72769,133696,133696,121587,131206,92776,92776,86924,102644,135356,135356,100084,100084,149469,149469,126306,126306
BITN,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",76909,76909,129276,129276,125486,125486,96688,96688,100914,100914,125131,125131,142160,148265,150996,150996,133853,133853
BITN,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),66034,66034,129400,129400,129955,135008,130486,130486,124625,124625,66034,66034,66034,66034,66034,129688,66034,66034
BITN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,90651,90651,150352,150352,134907,135338,90651,90651,126310,126645,131698,131698,139009,139009,150419,150419,128156,128156
BITN,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,78169,91597,78169,109036,126944,129667,78169,91597,132828,132828,78169,91597,113242,113242,78169,131728,78169,91597
BOMA,CIV,CIVIL ENGINEERING,99388,99388,99388,99388,99388,99388,99388,99388,99388,99388,99388,99388,99388,99388,147977,147977,99388,99388
BOMA,CSE,COMPUTER SCIENCE AND ENGINEERING,99746,99746,150712,150712,149378,151535,99746,99746,112107,122386,99746,99746,144415,144415,144966,145734,99746,99746
BOMA,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",102094,102094,144705,144705,147471,147471,102094,102094,149311,149311,120649,120649,102094,102094,150557,150557,102094,102094
BOMA,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,45429,105145,45429,105145,123751,123751,45429,105145,45429,105145,45429,105145,45429,105145,151133,151133,45429,105145
BOMA,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,146767,146767,146767,148763,146767,146767,146767,146767,146767,146767,146767,146767,146767,146767,146767,146767,146767,146767
BOSE,CIV,CIVIL ENGINEERING,NA,106676,NA,147968,NA,143736,NA,129029,NA,146888,NA,106676,NA,137614,NA,148986,NA,106676
BOSE,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),NA,124465,NA,146141,NA,147511,NA,124465,NA,147984,NA,124465,NA,124465,NA,151749,NA,124465
BOSE,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,97954,NA,128276,NA,139653,NA,141039,NA,142900,NA,143520,NA,130824,NA,132825,NA,97954
BOSE,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",NA,114742,NA,149994,NA,151218,NA,151238,NA,151337,NA,151498,NA,149618,NA,150114,NA,114742
BOSE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,101822,NA,151193,NA,143797,NA,101822,NA,151382,NA,146437,NA,151039,NA,141458,NA,101822
BOSE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,134991,NA,151532,NA,151744,NA,134991,NA,138194,NA,139058,NA,134991,NA,145752,NA,134991
BREW,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,14016,NA,32171,NA,19799,NA,14016,NA,21173,NA,25022,NA,44003,NA,68106,NA,15783
BREW,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",NA,12342,NA,29588,NA,21101,NA,22427,NA,21755,NA,12342,NA,12342,NA,70444,NA,16053
BREW,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,23035,NA,45300,NA,31839,NA,32796,NA,32175,NA,67458,NA,58413,NA,118766,NA,26094
BREW,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,43967,NA,96694,NA,60761,NA,43967,NA,62610,NA,91481,NA,43967,NA,145732,NA,63565
BREW,INF,INFORMATION TECHNOLOGY,NA,18401,NA,49390,NA,28910,NA,26991,NA,26832,NA,41712,NA,101408,NA,107141,NA,21113
BRIG,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,86353,86353,107757,126623,116989,119327,86353,112213,106195,106854,109994,109994,86353,146842,148931,148931,119599,119599
BRIG,CIV,CIVIL ENGINEERING,69251,69251,148222,148222,148819,149589,69251,69251,150647,150647,69251,69251,69251,69251,147987,151249,128928,128928
BRIG,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,37892,37892,132885,132885,130350,130350,37892,37892,111787,120229,113578,131512,111225,111225,149497,150368,126021,129135
BRIG,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),101116,101116,132896,132896,118226,118226,101116,101116,108370,108692,120776,121939,101116,101116,147192,151032,112700,117070
BRIG,CSE,COMPUTER SCIENCE AND ENGINEERING,73675,76294,126603,126603,116002,116002,94386,94386,104337,106821,127041,127041,73675,76294,146189,151526,116655,116848
BRIG,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",49231,49231,129911,130921,93119,118996,80170,80170,105642,108013,129560,129560,145071,145071,139941,149849,96501,118024
BRIG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,90535,90535,129913,134293,129369,135418,90535,90535,114523,114523,90535,110247,90535,90535,149936,150574,120456,127729
BRIG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,74678,74678,128334,128334,129820,133061,74678,74678,128745,128745,129066,129066,74678,143201,134284,134284,74678,74678
BRIG,MEC,MECHANICAL ENGINEERING,91868,91868,91868,91868,115538,115538,149343,149343,151438,151438,91868,91868,91868,91868,151548,151548,91868,91868
BRIL,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,54198,54198,120198,120198,117709,124341,54198,54198,105093,115318,126690,126690,54198,54198,142991,149745,109549,111818
BRIL,CIV,CIVIL ENGINEERING,36387,96044,148928,148928,151183,151183,36387,133663,151286,151319,127091,151370,147940,147940,148614,148614,129519,129519
BRIL,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),64141,64141,122304,122304,120873,120873,64141,64141,105552,105552,131084,131084,64141,64141,145225,147483,114326,114326
BRIL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),77339,77339,135238,135238,122478,122478,77339,77339,98313,107674,117294,121439,77339,77339,143744,150564,94690,110340
